Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
66828.3828125,66876.375,66769.0625,66769.0625,0,0.0,0.0,2024-07-24 13:40:00+00:00,13-40,164,1721828400.0,66822.71875
66770.390625,66794.34375,66734.1328125,66734.1328125,0,0.0,0.0,2024-07-24 13:45:00+00:00,13-45,165,1721828700.0,66764.23828125
66735.09375,66735.09375,66602.296875,66602.296875,0,0.0,0.0,2024-07-24 13:50:00+00:00,13-50,166,1721829000.0,66668.6953125
66605.1015625,66605.1015625,66372.7109375,66372.7109375,0,0.0,0.0,2024-07-24 13:55:00+00:00,13-55,167,1721829300.0,66488.90625
66363.7734375,66494.59375,66363.7734375,66494.59375,0,0.0,0.0,2024-07-24 14:00:00+00:00,14-00,168,1721829600.0,66429.18359375
66481.34375,66538.625,66481.34375,66534.515625,0,0.0,0.0,2024-07-24 14:05:00+00:00,14-05,169,1721829900.0,66509.984375
66534.7890625,66702.0546875,66534.7890625,66602.765625,0,0.0,0.0,2024-07-24 14:10:00+00:00,14-10,170,1721830200.0,66618.421875
66661.78125,66697.4765625,66661.78125,66697.4765625,10434560,0.0,0.0,2024-07-24 14:15:00+00:00,14-15,171,1721830500.0,66679.62890625
66752.6171875,66834.015625,66733.8125,66834.015625,0,0.0,0.0,2024-07-24 14:20:00+00:00,14-20,172,1721830800.0,66783.9140625
66809.859375,66809.859375,66716.984375,66743.78125,0,0.0,0.0,2024-07-24 14:25:00+00:00,14-25,173,1721831100.0,66763.421875
66789.4609375,67075.6171875,66789.4609375,67075.6171875,0,0.0,0.0,2024-07-24 14:30:00+00:00,14-30,174,1721831400.0,66932.5390625
67044.7265625,67044.7265625,66938.203125,66938.203125,112658432,0.0,0.0,2024-07-24 14:35:00+00:00,14-35,175,1721831700.0,66991.46484375
66905.359375,67003.0703125,66905.359375,67003.0703125,0,0.0,0.0,2024-07-24 14:40:00+00:00,14-40,176,1721832000.0,66954.21484375
66924.125,66924.125,66797.6875,66841.7421875,0,0.0,0.0,2024-07-24 14:45:00+00:00,14-45,177,1721832300.0,66860.90625
66943.546875,66943.546875,66914.1796875,66914.1796875,13805568,0.0,0.0,2024-07-24 14:50:00+00:00,14-50,178,1721832600.0,66928.86328125
66841.1328125,66924.7734375,66841.1328125,66902.9296875,66963456,0.0,0.0,2024-07-24 14:55:00+00:00,14-55,179,1721832900.0,66882.953125
66790.875,66799.265625,66746.8046875,66746.8046875,0,0.0,0.0,2024-07-24 15:00:00+00:00,15-00,180,1721833200.0,66773.03515625
66739.5703125,66739.5703125,66608.4140625,66608.4140625,0,0.0,0.0,2024-07-24 15:05:00+00:00,15-05,181,1721833500.0,66673.9921875
66611.40625,66629.515625,66591.96875,66629.515625,0,0.0,0.0,2024-07-24 15:10:00+00:00,15-10,182,1721833800.0,66610.7421875
66627.4296875,66651.6484375,66531.3984375,66531.3984375,0,0.0,0.0,2024-07-24 15:15:00+00:00,15-15,183,1721834100.0,66591.5234375
66517.6796875,66521.625,66394.5625,66394.5625,15028224,0.0,0.0,2024-07-24 15:20:00+00:00,15-20,184,1721834400.0,66458.09375
66259.1875,66400.421875,66259.1875,66400.421875,134080512,0.0,0.0,2024-07-24 15:25:00+00:00,15-25,185,1721834700.0,66329.8046875
66385.5546875,66397.09375,66296.9296875,66382.3125,0,0.0,0.0,2024-07-24 15:30:00+00:00,15-30,186,1721835000.0,66347.01171875
